0000000000000000 #  0
3ff0000000000000 #  1
4000000000000000 #  2
4008000000000000 #  3
4010000000000000 #  4
4014000000000000 #  5
4018000000000000 #  6
401c000000000000 #  7
4020000000000000 #  8
4022000000000000 #  9
4024000000000000 # 10
4026000000000000 # 11
4028000000000000 # 12
402a000000000000 # 13
402c000000000000 # 14
402e000000000000 # 15
4030000000000000 # 16
4031000000000000 # 17
4032000000000000 # 18
4033000000000000 # 19
4034000000000000 # 20
4035000000000000 # 21
4036000000000000 # 22
4037000000000000 # 23
4038000000000000 # 24
4039000000000000 # 25
403a000000000000 # 26
403b000000000000 # 27
403c000000000000 # 28
403d000000000000 # 29
403e000000000000 # 30
403f000000000000 # 31
4040000000000000 # 32
4040800000000000 # 33
4041000000000000 # 34
4041800000000000 # 35
4042000000000000 # 36
4042800000000000 # 37
4043000000000000 # 38
4043800000000000 # 39
4044000000000000 # 40
4044800000000000 # 41
4045000000000000 # 42
4045800000000000 # 43
4046000000000000 # 44
4046800000000000 # 45
4047000000000000 # 46
4047800000000000 # 47
4048000000000000 # 48
4048800000000000 # 49
4049000000000000 # 50
4049800000000000 # 51
404a000000000000 # 52
404a800000000000 # 53
404b000000000000 # 54
404b800000000000 # 55
404c000000000000 # 56
404c800000000000 # 57
404d000000000000 # 58
404d800000000000 # 59
404e000000000000 # 60
404e800000000000 # 61
404f000000000000 # 62
404f800000000000 # 63
4050000000000000 # 64
4050400000000000 # 65
4050800000000000 # 66
4050c00000000000 # 67
4051000000000000 # 68
4051400000000000 # 69
4051800000000000 # 70
4051c00000000000 # 71
4052000000000000 # 72
4052400000000000 # 73
4052800000000000 # 74
4052c00000000000 # 75
4053000000000000 # 76
4053400000000000 # 77
4053800000000000 # 78
4053c00000000000 # 79
4054000000000000 # 80
4054400000000000 # 81
4054800000000000 # 82
4054c00000000000 # 83
4055000000000000 # 84
4055400000000000 # 85
4055800000000000 # 86
4055c00000000000 # 87
4056000000000000 # 88
4056400000000000 # 89
4056800000000000 # 90
4056c00000000000 # 91
4057000000000000 # 92
4057400000000000 # 93
4057800000000000 # 94
4057c00000000000 # 95
4058000000000000 # 96
4058400000000000 # 97
4058800000000000 # 98
4058c00000000000 # 99
4059000000000000 #100
4059400000000000 #101
4059800000000000 #102
4059c00000000000 #103
405a000000000000 #104
405a400000000000 #105
405a800000000000 #106
405ac00000000000 #107
405b000000000000 #108
405b400000000000 #109
405b800000000000 #110
405bc00000000000 #111
405c000000000000 #112
405c400000000000 #113
405c800000000000 #114
405cc00000000000 #115
405d000000000000 #116
405d400000000000 #117
405d800000000000 #118
405dc00000000000 #119
405e000000000000 #120
405e400000000000 #121
405e800000000000 #122
405ec00000000000 #123
405f000000000000 #124
405f400000000000 #125
405f800000000000 #126
405fc00000000000 #127
4060000000000000 #128
4060200000000000 #129
4060400000000000 #130
4060600000000000 #131
4060800000000000 #132
4060a00000000000 #133
4060c00000000000 #134
4060e00000000000 #135
4061000000000000 #136
4061200000000000 #137
4061400000000000 #138
4061600000000000 #139
4061800000000000 #140
4061a00000000000 #141
4061c00000000000 #142
4061e00000000000 #143
4062000000000000 #144
4062200000000000 #145
4062400000000000 #146
4062600000000000 #147
4062800000000000 #148
4062a00000000000 #149
4062c00000000000 #150
4062e00000000000 #151
4063000000000000 #152
4063200000000000 #153
4063400000000000 #154
4063600000000000 #155
4063800000000000 #156
4063a00000000000 #157
4063c00000000000 #158
4063e00000000000 #159
4064000000000000 #160
4064200000000000 #161
4064400000000000 #162
4064600000000000 #163
4064800000000000 #164
4064a00000000000 #165
4064c00000000000 #166
4064e00000000000 #167
4065000000000000 #168
4065200000000000 #169
4065400000000000 #170
4065600000000000 #171
4065800000000000 #172
4065a00000000000 #173
4065c00000000000 #174
4065e00000000000 #175
4066000000000000 #176
4066200000000000 #177
4066400000000000 #178
4066600000000000 #179
4066800000000000 #180
4066a00000000000 #181
4066c00000000000 #182
4066e00000000000 #183
4067000000000000 #184
4067200000000000 #185
4067400000000000 #186
4067600000000000 #187
4067800000000000 #188
4067a00000000000 #189
4067c00000000000 #190
4067e00000000000 #191
4068000000000000 #192
4068200000000000 #193
4068400000000000 #194
4068600000000000 #195
4068800000000000 #196
4068a00000000000 #197
4068c00000000000 #198
4068e00000000000 #199
4069000000000000 #200
4069200000000000 #201
4069400000000000 #202
4069600000000000 #203
4069800000000000 #204
4069a00000000000 #205
4069c00000000000 #206
4069e00000000000 #207
406a000000000000 #208
406a200000000000 #209
406a400000000000 #210
406a600000000000 #211
406a800000000000 #212
406aa00000000000 #213
406ac00000000000 #214
406ae00000000000 #215
406b000000000000 #216
406b200000000000 #217
406b400000000000 #218
406b600000000000 #219
406b800000000000 #220
406ba00000000000 #221
406bc00000000000 #222
406be00000000000 #223
406c000000000000 #224
406c200000000000 #225
406c400000000000 #226
406c600000000000 #227
406c800000000000 #228
406ca00000000000 #229
406cc00000000000 #230
406ce00000000000 #231
406d000000000000 #232
406d200000000000 #233
406d400000000000 #234
406d600000000000 #235
406d800000000000 #236
406da00000000000 #237
406dc00000000000 #238
406de00000000000 #239
406e000000000000 #240
406e200000000000 #241
406e400000000000 #242
406e600000000000 #243
406e800000000000 #244
406ea00000000000 #245
406ec00000000000 #246
406ee00000000000 #247
406f000000000000 #248
406f200000000000 #249
406f400000000000 #250
406f600000000000 #251
406f800000000000 #252
406fa00000000000 #253
406fc00000000000 #254
406fe00000000000 #255
